Type,Identification,Field,Locale,Market,Status,Default content,Translated content
PRODUCT,'7710626611283,body_html,it,,,"<p data-start=""254"" data-end=""421"">Název mluví za vše — lehkost, svoboda a absolutní kontrola.<br data-start=""326"" data-end=""329"">Model vycházející z legendárního Heavenu, který posouvá hranice komfortu a citu ještě dál.</p>
<p data-start=""423"" data-end=""637"">Negative střih kopíruje každý pohyb prstů, takže míč cítíš od první dotekové zóny až po konečky. Nový „Heaven styl“ v moderním zpracování přináší precizní padnutí, které funguje při tréninku i pod tlakem zápasu.</p>","<p data-start=""254"" data-end=""421"">Il nome parla da solo — leggerezza, libertà e controllo assoluto.<br data-start=""326"" data-end=""329"">Un modello che parte dal leggendario Heaven, spingendo ancora più in là i limiti del comfort e della sensibilità.</p>
<p data-start=""423"" data-end=""637"">La taglia Negative segue ogni movimento delle dita, così senti il pallone dalla prima zona di contatto fino alle punte. Il nuovo stile ""Heaven"" in una lavorazione moderna offre una vestibilità precisa che funziona sia in allenamento che sotto la pressione della partita.</p>"
PRODUCT,'7710626611283,body_html,pl,,,"<p data-start=""254"" data-end=""421"">Název mluví za vše — lehkost, svoboda a absolutní kontrola.<br data-start=""326"" data-end=""329"">Model vycházející z legendárního Heavenu, který posouvá hranice komfortu a citu ještě dál.</p>
<p data-start=""423"" data-end=""637"">Negative střih kopíruje každý pohyb prstů, takže míč cítíš od první dotekové zóny až po konečky. Nový „Heaven styl“ v moderním zpracování přináší precizní padnutí, které funguje při tréninku i pod tlakem zápasu.</p>","<p data-start=""254"" data-end=""421"">Nazwa mówi sama za siebie — lekkość, wolność i absolutna kontrola.<br data-start=""326"" data-end=""329"">Model wywodzący się z legendarnego Heavenu, który przesuwa granice komfortu i czucia jeszcze dalej.</p>
<p data-start=""423"" data-end=""637"">Negative cut kopiuje każdy ruch palców, więc czujesz piłkę od pierwszej strefy dotykowej aż po same końcówki. Nowy styl „Heaven” w nowoczesnym wykonaniu zapewnia precyzyjne dopasowanie, które sprawdza się zarówno na treningu, jak i pod presją meczu.</p>"
PRODUCT,'7710626611283,body_html,ro,,,"<p data-start=""254"" data-end=""421"">Název mluví za vše — lehkost, svoboda a absolutní kontrola.<br data-start=""326"" data-end=""329"">Model vycházející z legendárního Heavenu, který posouvá hranice komfortu a citu ještě dál.</p>
<p data-start=""423"" data-end=""637"">Negative střih kopíruje každý pohyb prstů, takže míč cítíš od první dotekové zóny až po konečky. Nový „Heaven styl“ v moderním zpracování přináší precizní padnutí, které funguje při tréninku i pod tlakem zápasu.</p>","<p data-start=""254"" data-end=""421"">Numele spune totul — ușurință, libertate și control absolut.<br data-start=""326"" data-end=""329"">Modelul care pornește de la legendarul Heaven, împingând limitele confortului și simțului și mai departe.</p>
<p data-start=""423"" data-end=""637"">Tăietura Negative urmărește fiecare mișcare a degetelor, astfel încât simți mingea de la prima zonă de contact până la vârfuri. Noul stil „Heaven” cu prelucrare modernă aduce o potrivire precisă, care funcționează atât la antrenament, cât și sub presiunea meciului.</p>"
PRODUCT,'7710626611283,body_html,sk,,,"<p data-start=""254"" data-end=""421"">Název mluví za vše — lehkost, svoboda a absolutní kontrola.<br data-start=""326"" data-end=""329"">Model vycházející z legendárního Heavenu, který posouvá hranice komfortu a citu ještě dál.</p>
<p data-start=""423"" data-end=""637"">Negative střih kopíruje každý pohyb prstů, takže míč cítíš od první dotekové zóny až po konečky. Nový „Heaven styl“ v moderním zpracování přináší precizní padnutí, které funguje při tréninku i pod tlakem zápasu.</p>","<p data-start=""254"" data-end=""421"">Názov hovorí za všetko — ľahkosť, sloboda a absolútna kontrola.<br data-start=""326"" data-end=""329"">Model vychádzajúci z legendárneho Heavenu, ktorý posúva hranice komfortu a citu ešte ďalej.</p>
<p data-start=""423"" data-end=""637"">Negative strih kopíruje každý pohyb prstov, takže loptu cítiš od prvej dotykovej zóny až po končeky. Nový „Heaven štýl“ v modernom spracovaní prináša precízne padnutie, ktoré funguje počas tréningu aj pod tlakom zápasu.</p>"
PRODUCT,'7710626611283,handle,bg,,,bu1-sky,
PRODUCT,'7710626611283,handle,de,,,bu1-sky,
PRODUCT,'7710626611283,handle,en,,,bu1-sky,
PRODUCT,'7710626611283,handle,es,,,bu1-sky,
PRODUCT,'7710626611283,handle,fr,,,bu1-sky,
PRODUCT,'7710626611283,handle,hr,,,bu1-sky,
PRODUCT,'7710626611283,handle,hu,,,bu1-sky,
PRODUCT,'7710626611283,handle,it,,,bu1-sky,
PRODUCT,'7710626611283,handle,pl,,,bu1-sky,
PRODUCT,'7710626611283,handle,ro,,,bu1-sky,
PRODUCT,'7710626611283,handle,sk,,,bu1-sky,
PRODUCT,'7710626611283,product_type,bg,,,Soccer gloves,Футболни ръкавици
PRODUCT,'7710626611283,product_type,de,,,Soccer gloves,Fußballhandschuhe
PRODUCT,'7710626611283,product_type,en,,,Soccer gloves,Goalkeeper gloves
PRODUCT,'7710626611283,product_type,es,,,Soccer gloves,Guantes de fútbol
PRODUCT,'7710626611283,product_type,fr,,,Soccer gloves,Gants de football
PRODUCT,'7710626611283,product_type,hr,,,Soccer gloves,Vratarske rukavice
PRODUCT,'7710626611283,product_type,hu,,,Soccer gloves,Labdarúgó kesztyűk
PRODUCT,'7710626611283,product_type,it,,,Soccer gloves,Guanti da calcio
PRODUCT,'7710626611283,product_type,pl,,,Soccer gloves,Rękawice piłkarskie
PRODUCT,'7710626611283,product_type,ro,,,Soccer gloves,Mănuși de fotbal
PRODUCT,'7710626611283,product_type,sk,,,Soccer gloves,Futbalové rukavice
PRODUCT,'7710626611283,meta_description,bg,,,"BU1 SKY – lehkost ☁️, kontrola 🎯 a výkon 💥 v každém zákroku. T2 Grip pěna a NC střih pro maximální jistotu v rukou.","BU1 SKY – лекота ☁️, контрол 🎯 и производителност 💥 във всяко движение. T2 Grip пяна и NC кройка за максимална сигурност в ръцете."
