severity,issue,type,id,locale,field,title,detail
HIGH,MISSING,ARTICLE,'558848704595,bg,summary_html,Nový model BU1 Triangle,No summary_html translation
HIGH,WRONG_DOMAIN,ARTICLE,'558848737363,bg,body_html,Model BU1 FC Hlučín,Contains bu1.cz
HIGH,MISSING,ARTICLE,'558848737363,bg,summary_html,Model BU1 FC Hlučín,No summary_html translation
HIGH,MISSING,ARTICLE,'558848770131,bg,summary_html,Všichni brankáři MFK Karviná chytají v BU1,No summary_html translation
HIGH,WRONG_DOMAIN,ARTICLE,'558848802899,bg,body_html,Roman Valeš začíná chytat v BU1,Contains bu1.cz
HIGH,MISSING,ARTICLE,'558848802899,bg,summary_html,Roman Valeš začíná chytat v BU1,No summary_html translation
HIGH,MISSING,ARTICLE,'558848835667,bg,summary_html,Testovací model BU1 All Black,No summary_html translation
HIGH,MISSING,ARTICLE,'558848868435,bg,summary_html,Začínáme prodávat dětské velikosti,No summary_html translation
HIGH,WRONG_DOMAIN,ARTICLE,'558854864979,bg,body_html,První video brankářského tréninku,Contains bu1.cz
HIGH,MISSING,ARTICLE,'558854864979,bg,summary_html,První video brankářského tréninku,No summary_html translation
HIGH,WRONG_DOMAIN,ARTICLE,'558854897747,bg,body_html,Brankáři MFK Karviná v BU1,Contains bu1.cz
HIGH,MISSING,ARTICLE,'558854897747,bg,summary_html,Brankáři MFK Karviná v BU1,No summary_html translation
HIGH,WRONG_DOMAIN,ARTICLE,'558854930515,bg,body_html,Kluci z Karviné nám udělali video,Contains bu1.cz
HIGH,MISSING,ARTICLE,'558854930515,bg,summary_html,Kluci z Karviné nám udělali video,No summary_html translation
HIGH,WRONG_DOMAIN,ARTICLE,'558854963283,bg,body_html,BU1 a Sportfotbal.cz,Contains bu1.cz
HIGH,MISSING,ARTICLE,'558854963283,bg,summary_html,BU1 a Sportfotbal.cz,No summary_html translation
HIGH,WRONG_DOMAIN,ARTICLE,'558854996051,bg,body_html,Nový model BU1 RED,Contains bu1.cz
HIGH,MISSING,ARTICLE,'558854996051,bg,summary_html,Nový model BU1 RED,No summary_html translation
HIGH,WRONG_DOMAIN,ARTICLE,'558855028819,bg,body_html,Nový model pro Sportfotbal.cz,Contains bu1.cz
HIGH,MISSING,ARTICLE,'558855028819,bg,summary_html,Nový model pro Sportfotbal.cz,No summary_html translation
HIGH,WRONG_DOMAIN,ARTICLE,'558855061587,bg,body_html,BU1 speciální modely,Contains bu1.cz
HIGH,MISSING,ARTICLE,'558855061587,bg,summary_html,BU1 speciální modely,No summary_html translation
HIGH,WRONG_DOMAIN,ARTICLE,'558855094355,bg,body_html,1. FC Slovácko ženy – trénink v rukavicích BU1,Contains bu1.cz
HIGH,MISSING,ARTICLE,'558855094355,bg,summary_html,1. FC Slovácko ženy – trénink v rukavicích BU1,No summary_html translation
HIGH,MISSING,ARTICLE,'558855094355,bg,handle,1. FC Slovácko ženy – trénink v rukavicích BU1,No handle translation
HIGH,WRONG_DOMAIN,ARTICLE,'558855127123,bg,body_html,Kdo chytá v rukavicích BU1 v 1. české fotbalové li,Contains bu1.cz
HIGH,MISSING,ARTICLE,'558855127123,bg,summary_html,Kdo chytá v rukavicích BU1 v 1. české fotbalové li,No summary_html translation
HIGH,WRONG_DOMAIN,ARTICLE,'558858272851,bg,body_html,Výprodej BU1 Army a BU1 Pink,Contains bu1.cz
HIGH,MISSING,ARTICLE,'558858272851,bg,summary_html,Výprodej BU1 Army a BU1 Pink,No summary_html translation
HIGH,WRONG_DOMAIN,ARTICLE,'558862630995,bg,body_html,Rozhovor – Jan Laštůvka,Contains bu1.cz
HIGH,MISSING,ARTICLE,'558862630995,bg,summary_html,Rozhovor – Jan Laštůvka,No summary_html translation
HIGH,WRONG_DOMAIN,ARTICLE,'558862663763,bg,body_html,Speciální model pro Dušana Kuciaka,Contains bu1.cz
HIGH,MISSING,ARTICLE,'558862663763,bg,summary_html,Speciální model pro Dušana Kuciaka,No summary_html translation
HIGH,WRONG_DOMAIN,ARTICLE,'558866530387,bg,body_html,Slavíme 2. narozeniny a máme tady do konce víkendu,Contains bu1.cz
HIGH,MISSING,ARTICLE,'558866530387,bg,summary_html,Slavíme 2. narozeniny a máme tady do konce víkendu,No summary_html translation
HIGH,WRONG_DOMAIN,ARTICLE,'558866563155,bg,body_html,Rozhovor – Tomáš Tujvel,Contains bu1.cz
